iter	Passed	Remaining
0	77	61838
1	162	64732
2	240	63768
3	322	64150
4	398	63366
5	474	62851
6	549	62305
7	625	61943
8	702	61738
9	780	61653
10	858	61581
11	928	60981
12	1008	61024
13	1073	60284
14	1143	59853
15	1210	59297
16	1285	59224
17	1356	58934
18	1431	58850
19	1501	58565
20	1574	58405
21	1648	58298
22	1725	58283
23	1794	58033
24	1858	57626
25	1935	57609
26	2012	57619
27	2076	57246
28	2144	57020
29	2213	56814
30	2290	56816
31	2361	56665
32	2429	56467
33	2493	56179
34	2564	56053
35	2645	56142
36	2718	56061
37	2783	55826
38	2855	55711
39	2923	55539
40	2999	55518
41	3061	55250
42	3127	55065
43	3195	54900
44	3259	54694
45	3334	54662
46	3402	54505
47	3475	54446
48	3545	54333
49	3615	54227
50	3680	54059
51	3742	53833
52	3811	53714
53	3874	53528
54	3939	53367
55	4009	53263
56	4077	53154
57	4140	52966
58	4207	52838
59	4271	52687
60	4341	52591
61	4405	52445
62	4479	52401
63	4551	52340
64	4628	52333
65	4687	52128
66	4755	52029
67	4819	51884
68	4890	51808
69	4956	51690
70	5021	51562
71	5095	51517
72	5151	51307
73	5224	51255
74	5297	51211
75	5361	51072
76	5429	50983
77	5495	50866
78	5559	50743
79	5628	50653
80	5691	50521
81	5760	50438
82	5825	50324
83	5885	50164
84	5949	50048
85	6013	49924
86	6074	49780
87	6140	49679
88	6202	49554
89	6272	49479
90	6338	49380
91	6399	49246
92	6467	49169
93	6533	49071
94	6594	48940
95	6656	48816
96	6730	48775
97	6790	48639
98	6875	48687
99	6938	48566
100	6994	48406
101	7063	48336
102	7137	48298
103	7208	48238
104	7265	48092
105	7328	47979
106	7399	47924
107	7466	47840
108	7526	47715
109	7588	47600
110	7647	47469
111	7711	47369
112	7773	47260
113	7843	47197
114	7908	47104
115	7988	47103
116	8051	47003
117	8112	46889
118	8181	46821
119	8244	46718
120	8311	46639
121	8379	46568
122	8437	46442
123	8499	46333
124	8558	46216
125	8628	46153
126	8686	46031
127	8756	45969
128	8820	45880
129	8883	45785
130	8942	45668
131	9020	45650
132	9086	45570
133	9153	45495
134	9223	45432
135	9288	45351
136	9348	45240
137	9405	45117
138	9463	45002
139	9539	44972
140	9605	44894
141	9665	44785
142	9726	44687
143	9782	44563
144	9846	44476
145	9908	44385
146	9978	44327
147	10037	44218
148	10104	44146
